model,size,N,h,solver,sampler,cem,rbm,n_hidden,lr,reg,seed,sigma,n_samples,total_iters,conv_iter,converged,distance_at_conv,exact_energy_per_spin,energy_at_conv,avg_sampling_time_s,mean_sampling_time_all_s,distance_final,final_kl_exact,final_ess,time_to_conv_s,time_total_s
2d,11,121,1.0,metropolis,custom,False,full,121,0.01,1e-05,2,1.0,1000,300,71,True,,,-2.1230187570233627,2.2523913921788337,2.3475828749810654,,,0.12320931297516596,166.67838412365563,704.2748624943197
2d,11,121,1.0,metropolis,custom,False,full,121,0.01,1e-05,3,1.0,1000,300,66,True,,,-2.1233438780158105,2.0729832895100118,2.2782971645270784,,,0.14127473245807784,150.36761285878717,683.4891493581235
2d,11,121,1.0,metropolis,custom,False,full,121,0.01,1e-05,4,1.0,1000,300,75,True,,,-2.122824479805936,2.441832437738776,2.3091282469779255,,,0.14565731914739996,173.18461852334443,692.7384740933777
2d,11,121,1.0,metropolis,custom,False,full,121,0.01,1e-05,5,1.0,1000,300,67,True,,,-2.1231843420456866,2.3389691464602946,2.2831856948385636,,,0.13345499986647646,152.97344155418375,684.9557084515691
2d,11,121,2.0,metropolis,custom,False,full,121,0.01,1e-05,1,1.0,1000,300,79,True,,,-2.503326533196664,2.7486975237727167,2.754886893269916,,,0.0033813339160587595,217.63606456832338,826.4660679809749
2d,11,121,2.0,metropolis,custom,False,full,121,0.01,1e-05,2,1.0,1000,300,87,True,,,-2.5024167190850144,2.72666654586792,2.759790481229623,,,0.005956790290876611,240.1017718669772,827.937144368887
2d,11,121,2.0,metropolis,custom,False,full,121,0.01,1e-05,3,1.0,1000,300,80,True,,,-2.5029100445986083,2.7861997770145535,2.774446374202768,,,0.0012758230541870912,221.95570993622144,832.3339122608304
2d,11,121,2.0,metropolis,custom,False,full,121,0.01,1e-05,4,1.0,1000,300,80,True,,,-2.5031133336431166,2.765627458319068,2.769714243362347,,,0.0025962786314637424,221.57713946898778,830.9142730087042
2d,11,121,2.0,metropolis,custom,False,full,121,0.01,1e-05,5,1.0,1000,300,78,True,,,-2.5030231482159624,2.7199978590011598,2.7465868831425904,,,0.001266444807467563,214.23377688512204,823.9760649427772
2d,11,121,3.044,metropolis,custom,False,full,121,0.01,1e-05,1,1.0,1000,300,53,True,,,-3.1919072834350777,2.809244152344763,2.8095672030871115,,,0.005705950300651208,148.90706176361692,842.8701609261334
2d,11,121,3.044,metropolis,custom,False,full,121,0.01,1e-05,2,1.0,1000,300,63,True,,,-3.1952438228219284,2.809296928718686,2.8091169866671164,,,0.004579387547076207,176.97437016002834,842.735096000135
2d,11,121,3.044,metropolis,custom,False,full,121,0.01,1e-05,3,1.0,1000,300,61,True,,,-3.1952069556491836,2.809077005647123,2.8093875466038782,,,0.003617252495140964,171.37264034283658,842.8162639811635
2d,11,121,3.044,metropolis,custom,False,full,121,0.01,1e-05,4,1.0,1000,300,56,True,,,-3.1935255441882044,2.80929458308965,2.8095482551927367,,,0.0010033699247760717,157.33470229079325,842.864476557821
2d,11,121,3.044,metropolis,custom,False,full,121,0.01,1e-05,5,1.0,1000,300,53,True,,,-3.192351328118769,2.809396355599165,2.8093753428384662,,,0.00173001819829246,148.89689317043872,842.8126028515399
1d,12,12,0.5,gibbs,custom,False,full,12,0.0003,1e-05,1,1.0,1000,300,280,False,0.42175642708063454,-1.0635444099733717,-0.6417879828927372,0.01952115455023886,0.026337410773485316,0.42175642708063454,1.4335245306229254,0.7427157485766311,7.3744750165758886,7.901223232045595
2d,12,144,0.5,gibbs,custom,False,full,144,0.0003,1e-05,1,1.0,1000,300,280,False,,,-0.5429657537115735,0.055335580743849276,0.05908267048497995,,,0.6736809086469552,16.543147735794385,17.724801145493984
